@RELATION train_kademe5

@ATTRIBUTE il {Bartin,Bayburt,Cankiri,Erzurum,Hatay,Kahramanmaras,Nigde,Osmaniye,Tokat,Tunceli,Yozgat,bilinmiyor}
@ATTRIBUTE ilce {Afsin,Altinozu,Altunhisar,Amasra,Antakya,Arsuz,Askale,Atkaracalar,Aziziye,Belen,Bogazliyan,Bor,Camardi,Candir,Cerkes,Ciftlik,Defne,Dortyol,Dulkadiroglu,Duzici,Elbistan,Erbaa,Erzin,Goksun,Hasanbeyli,Hassa,Horasan,Iskenderun,Kadirli,Kirikhan,Mazgirt,Merkez,Niksar,Onikisubat,Palandoken,Pasinler,Payas,Pazar,Pazarcik,Reyhanli,Sabanozu,Samandag,Sarikaya,Sorgun,Sumbas,Toprakkale,Tortum,Turhal,Ulukisla,Yakutiye,Yayladagi,Yerkoy,Zile,bilinmiyor}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0,11_15_arasi,16_20_arasi,1_5_arasi,21_25_arasi,26_30_arasi,31_ve_uzeri,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,10,11,12,13,14,17,2,21_ve_uzeri,3,4,5,6,7,8,9,Ara_Kat,Bahce,Bodrum,Cati,En_Ust_Kat,Giris,Kot_1,Kot_2,Kot_3,Teras_Kati,Tripleks,Villa_Kati,Yuksek_Giris,Zemin,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Gunes_Enerjisi,Kat_Kaloriferi,Klima,Kombi,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Yerden_Isitma,belirtilmemis_dogalgaz,belirtilmemis_elektrik,belirtilmemis_komur_odun,bilinmiyor,isi_pompasi,isi_pompasi_elektrik,isitma_yok,isitma_yok_dogalgaz,isitma_yok_elektrik}
@ATTRIBUTE mutfak_raw {Misafir_WC,bilinmiyor}
@ATTRIBUTE mutfak_acik_mi {yok,var}
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE Bati {yok,var}
@ATTRIBUTE Dogu {yok,var}
@ATTRIBUTE Guney {yok,var}
@ATTRIBUTE Kuzey {yok,var}
@ATTRIBUTE Akilli_Ev {yok,var}
@ATTRIBUTE Celik_Kapi {yok,var}
@ATTRIBUTE Ebeveyn_Banyosu {yok,var}
@ATTRIBUTE Fiber_Internet {yok,var}
@ATTRIBUTE Isicam {yok,var}
@ATTRIBUTE Somine {yok,var}
@ATTRIBUTE Isi_Yalitimi {yok,var}
@ATTRIBUTE Mustakil_Havuzlu {yok,var}
@ATTRIBUTE Ses_Yalitimi {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Acik {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Kapali {yok,var}
@ATTRIBUTE Bogaz {yok,var}
@ATTRIBUTE Deniz {yok,var}
@ATTRIBUTE Doga {yok,var}
@ATTRIBUTE Gol {yok,var}
@ATTRIBUTE Nehir {yok,var}
@ATTRIBUTE Sehir {yok,var}
@ATTRIBUTE Dubleks {yok,var}
@ATTRIBUTE Bahce_Dubleksi {yok,var}
@ATTRIBUTE Cati_Dubleksi {yok,var}
@ATTRIBUTE Tripleks {yok,var}
@ATTRIBUTE sege_kademe {bilinmiyor,kademe_5}
@ATTRIBUTE salon_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE mutfak_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE banyo_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE metrekare_kategori {0_50_m2,100_125_m2,125_150_m2,150_200_m2,200_300_m2,300_m2_ve_ustu,50_75_m2,75_100_m2,bilinmiyor}
@ATTRIBUTE oda_kategori {1_oda,2_oda,3_oda,4_oda,5_oda,6_oda,7_oda_ve_ustu,bilinmiyor}
@ATTRIBUTE kat_sayisi_kategori {alcak_1_3_kat,bilinmiyor,cok_yuksek_16_ustu_kat,orta_4_7_kat,yuksek_8_15_kat}
@ATTRIBUTE banyo_kategori {1_banyo,2_banyo,3_banyo_ve_ustu,bilinmiyor}
@ATTRIBUTE guvenlik_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE luks_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE sosyal_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE ulasim_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE cevre_yakinlik_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE ic_konfor_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE engelli_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE fiyat_kategorisi {10_Milyon_TL_Ustu,1_5_2_Milyon_TL_Arasi,1_5_Milyon_TL_Alti,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Hatay,Belen,Satilik,16_20_arasi,Yuksek_Giris,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,normal,bilinmiyor,100_125_m2,4_oda,alcak_1_3_kat,1_banyo,yok,dusuk,yok,orta,dusuk,yuksek,yok,2_3_Milyon_TL_Arasi
Hatay,Yayladagi,Satilik,1_5_arasi,Cati,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,kademe_5,kotu,normal,kotu,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Hatay,Dortyol,Satilik,16_20_arasi,4,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,normal,bilinmiyor,150_200_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,yok,yok,orta,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Hatay,Arsuz,Satilik,21_25_arasi,bilinmiyor,belirtilmemis_elektrik,bilinmiyor,yok,yok,yok,yok,yok,var,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,kademe_5,iyi,iyi,normal,200_300_m2,4_oda,alcak_1_3_kat,2_banyo,yok,dusuk,yok,orta,yok,orta,yok,10_Milyon_TL_Ustu
Hatay,Arsuz,Satilik,6_10_arasi,Ara_Kat,Klima,bilinmiyor,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,normal,kotu,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,yok,yok,dusuk,yok,2_3_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Satilik,6_10_arasi,4,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,normal,bilinmiyor,100_125_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Tokat,Merkez,Satilik,6_10_arasi,Zemin,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Tokat,Merkez,Satilik,1_5_arasi,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,normal,iyi,normal,150_200_m2,4_oda,orta_4_7_kat,2_banyo,yok,yok,dusuk,dusuk,orta,orta,yok,7_Bucuk_10_Milyon_TL_Arasi
Hatay,Belen,Satilik,1_5_arasi,3,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,dusuk,yok,dusuk,yok,yuksek,yok,4_5_Milyon_TL_Arasi
Hatay,Antakya,Satilik,1_5_arasi,2,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_5,normal,bilinmiyor,normal,125_150_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,orta,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Tokat,Merkez,Satilik,6_10_arasi,3,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,yok,var,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_5,iyi,bilinmiyor,bilinmiyor,125_150_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,yok,yok,orta,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Yozgat,Merkez,Satilik,21_25_arasi,5,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,normal,normal,bilinmiyor,125_150_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,yok,dusuk,orta,yok,1_5_2_Milyon_TL_Arasi
Hatay,Defne,Satilik,6_10_arasi,Bahce,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,iyi,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,yok,yok,1_5_Milyon_TL_Alti
Hatay,Dortyol,Satilik,16_20_arasi,Bahce,Soba,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,4_oda,bilinmiyor,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Hatay,Payas,Satilik,6_10_arasi,2,Kombi,bilinmiyor,yok,var,var,var,yok,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,normal,bilinmiyor,150_200_m2,4_oda,orta_4_7_kat,2_banyo,yok,dusuk,yok,yok,orta,orta,yok,3_4_Milyon_TL_Arasi
Hatay,Antakya,Satilik,11_15_arasi,5,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_5,kotu,kotu,normal,75_100_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,yok,yok,orta,orta,yuksek,yok,1_5_2_Milyon_TL_Arasi
Hatay,Antakya,Satilik,0,2,Klima,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_5,iyi,normal,kotu,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,orta,yuksek,yuksek,yok,1_5_2_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Satilik,6_10_arasi,3,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,kotu,normal,normal,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,dusuk,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Tokat,Merkez,Satilik,1_5_arasi,5,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,var,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,kademe_5,normal,normal,bilinmiyor,125_150_m2,5_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Hatay,Dortyol,Satilik,11_15_arasi,1,isitma_yok,bilinmiyor,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,kotu,kotu,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_Milyon_TL_Alti
Erzurum,Palandoken,Satilik,1_5_arasi,2,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,kademe_5,bilinmiyor,iyi,normal,150_200_m2,4_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,orta,dusuk,yok,4_5_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Satilik,11_15_arasi,1,Merkezi,bilinmiyor,yok,var,yok,var,yok,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,normal,normal,bilinmiyor,150_200_m2,5_oda,yuksek_8_15_kat,1_banyo,dusuk,dusuk,yok,dusuk,orta,orta,yok,4_5_Milyon_TL_Arasi
Tokat,Niksar,Satilik,6_10_arasi,7,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,125_150_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,yok,yok,dusuk,yok,yuksek,yok,4_5_Milyon_TL_Arasi
Hatay,Arsuz,Satilik,31_ve_uzeri,1,Klima,bilinmiyor,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,bilinmiyor,kotu,100_125_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yuksek,yok,2_3_Milyon_TL_Arasi
Tokat,Merkez,Satilik,0,Ara_Kat,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,yok,yok,var,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,iyi,iyi,normal,50_75_m2,2_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,dusuk,yok,orta,yok,2_3_Milyon_TL_Arasi
Tokat,Merkez,Satilik,1_5_arasi,Yuksek_Giris,Yerden_Isitma,bilinmiyor,yok,yok,var,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,normal,kotu,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,dusuk,orta,orta,yok,2_3_Milyon_TL_Arasi
Erzurum,Yakutiye,Satilik,0,1,Yerden_Isitma,bilinmiyor,yok,var,var,var,yok,var,yok,var,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_5,normal,iyi,kotu,150_200_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,dusuk,yok,orta,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Nigde,Merkez,Satilik,21_25_arasi,3,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,yok,dusuk,dusuk,yuksek,yok,yok,2_3_Milyon_TL_Arasi
Nigde,Merkez,Satilik,0,2,Merkezi,bilinmiyor,yok,yok,var,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,iyi,bilinmiyor,bilinmiyor,100_125_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,dusuk,yok,dusuk,yok,orta,yok,4_5_Milyon_TL_Arasi
Hatay,Arsuz,Satilik,6_10_arasi,3,Klima,bilinmiyor,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,bilinmiyor,bilinmiyor,150_200_m2,5_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Tokat,Erbaa,Satilik,16_20_arasi,bilinmiyor,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,yok,yok,var,var,var,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,300_m2_ve_ustu,4_oda,alcak_1_3_kat,bilinmiyor,yok,dusuk,yok,dusuk,yok,orta,yok,3_4_Milyon_TL_Arasi
Hatay,Dortyol,Satilik,0,3,Kombi,bilinmiyor,yok,yok,var,var,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_5,iyi,normal,iyi,50_75_m2,2_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,orta,yuksek,yuksek,yok,2_3_Milyon_TL_Arasi
Tokat,Merkez,Satilik,26_30_arasi,En_Ust_Kat,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,kademe_5,kotu,kotu,bilinmiyor,200_300_m2,7_oda_ve_ustu,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Hatay,Iskenderun,Satilik,0,2,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,bilinmiyor,normal,normal,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,orta,orta,yuksek,yok,2_3_Milyon_TL_Arasi
Hatay,Antakya,Satilik,6_10_arasi,1,Kombi_Dogalgaz,bilinmiyor,yok,var,var,yok,var,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,kotu,kotu,normal,0_50_m2,2_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,dusuk,dusuk,orta,yok,1_5_2_Milyon_TL_Arasi
Hatay,Iskenderun,Satilik,16_20_arasi,4,Klima,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,bilinmiyor,iyi,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,2_3_Milyon_TL_Arasi
Hatay,Antakya,Satilik,6_10_arasi,3,Kombi_Dogalgaz,bilinmiyor,yok,var,var,yok,yok,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,kotu,normal,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,yuksek,yok,3_4_Milyon_TL_Arasi
Nigde,Merkez,Satilik,1_5_arasi,bilinmiyor,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,125_150_m2,4_oda,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Bartin,Merkez,Satilik,1_5_arasi,En_Ust_Kat,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,normal,iyi,75_100_m2,3_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Tokat,Turhal,Satilik,26_30_arasi,2,Kombi,bilinmiyor,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,iyi,iyi,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,orta,orta,dusuk,yok,2_3_Milyon_TL_Arasi
Hatay,Iskenderun,Satilik,16_20_arasi,2,Klima,bilinmiyor,yok,var,yok,yok,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,normal,kotu,150_200_m2,4_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,1_5_2_Milyon_TL_Arasi
Hatay,Defne,Satilik,1_5_arasi,bilinmiyor,Yerden_Isitma,bilinmiyor,yok,var,yok,var,yok,yok,yok,var,yok,yok,var,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,var,yok,yok,kademe_5,kotu,bilinmiyor,kotu,300_m2_ve_ustu,6_oda,alcak_1_3_kat,2_banyo,dusuk,orta,dusuk,dusuk,yok,yuksek,yok,10_Milyon_TL_Ustu
Nigde,Camardi,Satilik,1_5_arasi,Bahce,Klima,bilinmiyor,yok,var,yok,yok,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_5,normal,bilinmiyor,kotu,300_m2_ve_ustu,4_oda,bilinmiyor,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,4_5_Milyon_TL_Arasi
Yozgat,Merkez,Satilik,16_20_arasi,4,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,kotu,normal,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,dusuk,yok,2_3_Milyon_TL_Arasi
Nigde,Merkez,Satilik,0,5,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,iyi,bilinmiyor,75_100_m2,2_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Tokat,Merkez,Satilik,6_10_arasi,4,Kombi,bilinmiyor,yok,var,var,var,yok,var,var,var,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,var,yok,kademe_5,iyi,iyi,bilinmiyor,300_m2_ve_ustu,7_oda_ve_ustu,orta_4_7_kat,3_banyo_ve_ustu,dusuk,dusuk,dusuk,dusuk,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Tokat,Merkez,Satilik,16_20_arasi,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,kotu,kotu,bilinmiyor,200_300_m2,6_oda,orta_4_7_kat,2_banyo,yok,yok,yok,yok,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Bartin,Merkez,Satilik,0,3,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,bilinmiyor,bilinmiyor,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,yok,yok,yok,yok,2_3_Milyon_TL_Arasi
Tokat,Merkez,Satilik,26_30_arasi,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,iyi,bilinmiyor,normal,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,yok,yok,yok,yok,4_5_Milyon_TL_Arasi
Tokat,Merkez,Satilik,21_25_arasi,4,Kombi,bilinmiyor,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,normal,normal,kotu,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Hatay,Antakya,Satilik,6_10_arasi,3,Klima,bilinmiyor,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_5,kotu,normal,bilinmiyor,50_75_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,1_5_Milyon_TL_Alti
